name,height,weight,position,school,city,state,score,nat_rank,pos_rank,state_rank,website,school_offer
Bryce Underwood,6-3.5 ,205,QB,Belleville,Belleville,MI,0.9998,1,1,1,247,Texas
Julian Lewis,6-0.5 ,185,QB,Carrollton,Carrollton,GA,0.9762,50,6,7,247,Texas
KJ Lacey,6-0 ,175,QB,Saraland,Saraland,AL,0.9336,155,14,11,247,Texas
Luke Dunham,6-3 ,185,QB,Mccallum,Austin,TX,NA,NA,NA,NA,247,Texas
Harlem Berry,5-11 ,175,RB,St Martin's Episcopal School,Metairie,LA,0.9919,15,1,1,247,Texas
Akylin Dear,6-1 ,200,RB,Quitman,Quitman,MS,0.9729,53,2,3,247,Texas
Anthony Rogers,5-8 ,190,RB,Carver,Montgomery,AL,0.9505,97,5,7,247,Texas
Jordon Davison,6-0 ,216,RB,Mater Dei,Santa Ana,CA,0.9299,171,12,14,247,Texas
James Simon,5-11 ,200,RB,Calvary Baptist Academy,Shreveport,LA,0.9298,173,13,6,247,Texas
Alvin Henderson,5-9 ,200,RB,Elba,Elba,AL,0.9214,210,16,14,247,Texas
Tory Blaylock,5-10 ,195,RB,Atascocita,Humble,TX,0.9112,266,17,35,247,Texas
Taevion Swint,5-9 ,185,RB,Osceola,Kissimmee,FL,0.9038,310,23,46,247,Texas
Rickey Stewart,5-10 ,180,RB,Chapel Hill,Tyler,TX,0.8942,416,29,56,247,Texas
Deondrae Riden,5-10 ,195,RB,DeSoto,DeSoto,TX,0.8925,436,33,63,247,Texas
Deandre Desinor,5-8.5 ,175,RB,Atlantic,Delray Beach,FL,0.8869,519,42,68,247,Texas
Riley Wormley,5-9 ,183,RB,Southlake Carroll,Southlake,TX,0.8853,540,44,75,247,Texas
Kane Bowen,6-1 ,200,RB,Sherman,Sherman,TX,0.8447,1843,173,266,247,Texas
Dakorien Moore,5-11 ,182,WR,Duncanville,Duncanville,TX,0.9981,4,1,2,247,Texas
Kaliq Lockett,6-2 ,175,WR,Sachse,Sachse,TX,0.9908,18,2,6,247,Texas
Quincy Porter,6-3 ,200,WR,Bergen Catholic,Oradell,NJ,0.9873,23,5,1,247,Texas
Caleb Cunningham,6-1 ,190,WR,Choctaw County,Ackerman,MS,0.984,32,7,2,247,Texas
Dallas Wilson,6-3 ,195,WR,Tampa Bay Tech,Tampa,FL,0.9827,35,8,4,247,Texas
Jaime Ffrench,6-1 ,185,WR,Mandarin,Jacksonville,FL,0.979,44,9,6,247,Texas
Daylan McCutcheon,5-11 ,175,WR,Lovejoy,Lucas,TX,0.9488,103,13,19,247,Texas
Derick Smith,6-1 ,185,WR,Southside,Selma,AL,0.9472,107,3,8,247,Texas
Andrew Marsh,6-1 ,175,WR,Katy Jordan,Fulshear,TX,0.9448,116,16,22,247,Texas
Jayvan Boggs,6-0.5 ,200,WR,Cocoa,Cocoa,FL,0.9288,178,24,27,247,Texas
Winston Watkins Jr.,5-10 ,172,WR,Venice,Venice,FL,0.9113,265,32,41,247,Texas
Emmanuel Choice,6-4 ,195,WR,Lancaster,Lancaster,TX,0.9027,317,41,45,247,Texas
Marcus Harris,6-0.5 ,185,WR,Mater Dei,Santa Ana,CA,0.8996,352,47,30,247,Texas
De'zie Jones,6-0 ,180,WR,DePaul Catholic,Wayne,NJ,0.8981,368,51,8,247,Texas
Tanook Hines,6-1 ,185,WR,Dekaney,Houston,TX,0.8933,422,59,58,247,Texas
Daylyn Upshaw,5-11.5 ,180,WR,Central,Phenix City,AL,0.8903,470,67,19,247,Texas
Taz Williams Jr,6-0 ,190,WR,Red Oak,Red Oak,TX,0.8883,502,73,73,247,Texas
Carterrious Brown,6-2 ,165,WR,Seguin,Arlington,TX,0.8778,695,104,92,247,Texas
Jadyn Robinson,5-9 ,160,WR,Junipero Serra,Gardena,CA,0.86,1304,177,98,247,Texas
James Johnson,5-10 ,181,WR,Douglas County,Douglasville,GA,0.86,1304,84,149,247,Texas
Linkon Cure,6-5 ,223,TE,Goodland,Goodland,KS,0.9816,37,2,2,247,Texas
Nick Townsend,6-3 ,235,TE,Dekaney,Houston,TX,0.9539,90,5,16,247,Texas
Kaleb Edwards,6-6 ,255,TE,Oak Ridge,El Dorado Hills,CA,0.9318,162,8,13,247,Texas
Ethan Barbour,6-3 ,235,TE,Milton,Alpharetta,GA,0.9306,168,9,21,247,Texas
Hollis Davidson,6-5 ,238,TE,McIntosh,Peachtree City,GA,0.9013,329,18,48,247,Texas
AJ Ia,6-5 ,240,TE,Orange Lutheran,Orange,CA,0.9008,332,19,28,247,Texas
Jack Van Dorselaer,6-5 ,230,TE,Southlake Carroll,Southlake,TX,0.8975,372,18,50,247,Texas
Keiundre Johnson,6-3 ,230,TE,Terrell,Terrell,TX,0.8836,568,42,79,247,Texas
Ryan Ghea,6-5 ,231,TE,Milton,Alpharetta,GA,0.8828,583,30,78,247,Texas
Emaree Winston,6-1.5 ,245,TE,Calhoun,Calhoun,GA,0.8819,601,32,81,247,Texas
Bear Tenney,6-5.5 ,255,TE,Lone Peak,American Fork,UT,0.8686,987,48,11,247,Texas
Michael Fasusi,6-5 ,295,OT,Lewisville,Lewisville,TX,0.9977,5,1,3,247,Texas
David Sanders Jr.,6-6 ,290,OT,Providence Day School,Charlotte,NC,0.9973,6,2,1,247,Texas
Lamont Rogers,6-6 ,325,OT,Horn,Mesquite,TX,0.9815,38,5,9,247,Texas
Ty Haywood,6-5 ,285,OT,Ryan,Denton,TX,0.9807,39,6,10,247,Texas
Juan Gaston,6-7 ,365,OT,Westlake,Atlanta,GA,0.974,52,8,8,247,Texas
Josh Petty,6-5 ,265,OT,Fellowship Christian School,Roswell,GA,0.9638,72,10,9,247,Texas
Ryan Fodje,6-5 ,300,OT,Bridgeland,Cypress,TX,0.9458,113,14,21,247,Texas
Aaron Dunn,6-7.5 ,290,OT,Spanish Fork,Spanish Fork,UT,0.9315,165,17,2,247,Texas
Brayden Jacobs,6-7 ,310,OT,Milton,Alpharetta,GA,0.9293,177,19,23,247,Texas
Nick Brooks,6-7 ,345,OT,Grayson,Loganville,GA,0.9161,237,25,33,247,Texas
Dontrell Glover,6-2 ,315,OT,Langston Hughes,Fairburn,GA,0.9025,319,17,46,247,Texas
Jonte Newman,6-4 ,275,OT,Bridgeland,Cypress,TX,0.9003,344,20,46,247,Texas
John Mills,6-6 ,320,OT,St. Ignatius College Preparatory,San Francisco,CA,0.8908,464,39,37,247,Texas
Jaelyne Matthews,6-5 ,305,OT,Toms River North,Toms River,NJ,0.8858,536,40,15,247,Texas
Tyler Thomas,6-4.5 ,317,OT,Dickinson,Dickinson,TX,0.8844,552,39,77,247,Texas
Jordan Coleman,6-5 ,350,OT,Cedar Hill,Cedar Hill,TX,0.8761,739,53,99,247,Texas
Byron Washington,6-7.5 ,380,OT,DeSoto,DeSoto,TX,0.8603,1301,94,194,247,Texas
Michael Carroll,6-6 ,315,IOL,IMG Academy,Bradenton,FL,0.98,12,1,1,247,Texas
Devin Harper,6-4 ,305,IOL,Calvary Baptist Academy,Shreveport,LA,0.94,131,7,3,247,Texas
Cortez Smith,6-3 ,310,IOL,Parkview,Lilburn,GA,0.92,188,11,27,247,Texas
Chauncey Gooden,6-4 ,320,IOL,Lipscomb Academy,Nashville,TN,0.92,199,12,3,247,Texas
Peyton Joseph,6-3 ,309,IOL,Houston County,Warner Robins,GA,0.9,NA,19,43,247,Texas
Champ Taulealea,6-4 ,325,IOL,Valley Christian,San Jose,CA,0.9,NA,22,31,247,Texas
Amir Leonard-Jean Charles,6-4 ,305,IOL,Lipscomb Academy,Nashville,TN,0.89,NA,61,16,247,Texas
Kaden Strayhorn,6-2.5 ,285,IOL,IMG Academy,Bradenton,FL,0.88,NA,40,76,247,Texas
Jackson Christian,6-5 ,309,IOL,Port Neches-Groves,Port Neches,TX,0.88,NA,45,90,247,Texas
Connor Carty,6-4 ,290,IOL,Prosper,Prosper,TX,0.88,NA,48,92,247,Texas
Devin Coleman,6-4 ,340,IOL,Cedar Hill,Cedar Hill,TX,0.88,NA,55,111,247,Texas
Peter Langi,6-5 ,330,IOL,Archbishop Riordan,San Francisco,CA,0.87,NA,83,102,247,Texas
Matai Jefferson,6-4 ,350,IOL,Warren,Downey,CA,0.85,NA,148,157,247,Texas
Isaiah Gibson,6-3.5 ,270,Edge,Warner Robins,Warner Robins,GA,0.98,14,1,3,247,Texas
Lance Jackson,6-5 ,260,Edge,Pleasant Grove,Texarkana,TX,0.97,39,3,10,247,Texas
Jared Smith,6-6.5 ,235,Edge,Thompson,Alabaster,AL,0.96,71,7,3,247,Texas
Javion Hilson,6-3.5 ,235,Edge,Cocoa,Cocoa,FL,0.95,79,8,10,247,Texas
Zion Grady,6-4 ,235,Edge,Enterprise,Enterprise,AL,0.94,114,13,6,247,Texas
Chad Woodfork,6-4 ,220,Edge,Summer Creek,Humble,TX,0.93,144,15,28,247,Texas
Smith Orogbo,6-4 ,220,Edge,Alief Hastings,Houston,TX,0.93,157,18,29,247,Texas
Marco Jones,6-5 ,245,Edge,San Ramon Valley,Danville,CA,0.93,158,19,13,247,Texas
Zahir Mathis,6-6 ,225,Edge,Imhotep Institute,Philadelphia,PA,0.93,166,20,4,247,Texas
Kamauryn Morgan,6-4 ,230,Edge,South Oak Cliff,Dallas,TX,0.91,NA,28,38,247,Texas
Damien Shanklin,6-4 ,230,Edge,Warren Central,Indianapolis,IN,0.9,NA,29,6,247,Texas
Makel Green,6-2 ,205,Edge,Central,Phenix City,AL,0.86,NA,105,42,247,Texas
Gus Cordova,6-3 ,246,Edge,Lake Travis,Austin,TX,0.86,NA,145,228,247,Texas
Justus Terry,6-5 ,290,DL,Manchester,Manchester,GA,0.98,13,3,2,247,Texas
Malik Autry,6-5.5 ,330,DL,Opelika,Opelika,AL,0.98,25,4,2,247,Texas
Iose Epenesa,6-4 ,270,DL,Edwardsville,Edwardsville,IL,0.98,27,5,1,247,Texas
Chace Sims,6-3 ,280,DL,Randle,Richmond,TX,0.96,58,8,14,247,Texas
Kevin Wynn,6-2 ,340,DL,Greene County,Greensboro,GA,0.96,60,9,11,247,Texas
DJ Sanders,6-4 ,290,DL,Bellville,Bellville,TX,0.96,62,10,15,247,Texas
Nathaniel Marshall,6-4 ,265,DL,Fenwick,Oak Park,IL,0.95,89,9,4,247,Texas
Jahkeem Stewart,6-6 ,270,DL,Edna Karr,New Orleans,LA,0.95,95,13,2,247,Texas
Myron Charles,6-4 ,295,DL,Port Charlotte,Port Charlotte,FL,0.94,138,17,15,247,Texas
Antonio Coleman,6-2 ,275,DL,Saraland,Saraland,AL,0.92,182,19,11,247,Texas
Ethan Utley,6-3.5 ,265,DL,Ensworth,Nashville,TN,0.92,207,22,5,247,Texas
Josiah Sharma,6-4.5 ,325,DL,Folsom,Folsom,CA,0.92,214,24,21,247,Texas
Joseph Mbatchou,6-4.5 ,275,DL,Grayson,Loganville,GA,0.91,238,25,34,247,Texas
Andrew Maddox,6-3 ,265,DL,Oak Grove,Hattiesburg,MS,0.91,NA,29,10,247,Texas
London Merritt,6-2.5 ,250,DL,IMG Academy,Bradenton,FL,0.9,NA,33,35,247,Texas
Michael Riles,6-3 ,235,DL,Memorial,Port Arthur,TX,0.89,NA,39,57,247,Texas
Kevin Oatis,6-2 ,295,DL,Hattiesburg,Hattiesburg,MS,0.89,NA,40,15,247,Texas
Jarquez Carter,6-2 ,284,DL,Newberry,Newberry,FL,0.89,NA,41,46,247,Texas
Brandon Brown,6-1.5 ,286,DL,Eau Gallie,Melbourne,FL,0.89,NA,43,54,247,Texas
Trent Wilson,6-3 ,270,DL,Wise,Upper Marlboro,MD,0.89,NA,45,15,247,Texas
Reginald Vaughn,6-2 ,260,DL,Hartfield Academy,Flowood,MS,0.89,NA,46,16,247,Texas
Braxton Kyle,6-4 ,320,DL,North Gwinnett,Suwanee,GA,0.89,NA,51,62,247,Texas
Stephon Shivers,6-4.5 ,365,DL,Brentwood Academy,Brentwood,TN,0.89,NA,53,13,247,Texas
Landon Rink,6-2 ,280,DL,Cy-Fair,Cypress,TX,0.89,NA,60,72,247,Texas
Derry Norris,6-3 ,265,DL,Spruce Creek,Port Orange,FL,0.88,NA,65,74,247,Texas
Caleb Bell,6-3 ,270,DL,Milton,Alpharetta,GA,0.88,NA,76,82,247,Texas
Zion Williams,6-4 ,295,DL,Lufkin,Lufkin,TX,0.88,NA,77,98,247,Texas
Dilan Battle,6-2 ,315,DL,Mansfield Timberview,Arlington,TX,0.88,NA,82,110,247,Texas
Floyd Guidry,6-0 ,285,DL,Spring,Spring,TX,0.87,NA,94,123,247,Texas
Walter Mathis,6-3 ,285,DL,Calvary Day School,Savannah,GA,0.87,NA,98,106,247,Texas
Carmello Brooks,6-3 ,275,DL,Paetow,Katy,TX,0.87,NA,101,153,247,Texas
JJ Hanne,6-5 ,280,DL,Santa Margarita Catholic,Rancho Santa Margarita,CA,0.87,NA,111,96,247,Texas
Jyon Simon,6-1.5 ,260,DL,Raines,Jacksonville,FL,0.86,NA,116,136,247,Texas
Xavier Ukponu,6-2 ,288,DL,Guyer,Denton,TX,0.85,NA,176,251,247,Texas
Hayden Lowe,6-4.5 ,250,LB,Oaks Christian,Westlake Village,CA,0.98,16,2,2,247,Texas
Elijah Barnes,6-1.5 ,220,LB,Skyline,Dallas,TX,0.95,78,3,19,247,Texas
Madden Faraimo,6-3 ,230,LB,JSerra Catholic,San Juan Capistrano,CA,0.95,86,4,6,247,Texas
Riley Pettijohn,6-1.5 ,215,LB,McKinney,McKinney,TX,0.95,101,6,23,247,Texas
Noah Mikhail,6-2.5 ,225,LB,Bonita,La Verne,CA,0.94,129,9,10,247,Texas
Zaydrius Rainey-Sale,6-2 ,220,LB,Bethel,Spanaway,WA,0.94,140,11,1,247,Texas
Matai Tagoa'i,6-3 ,190,LB,San Clemente,San Clemente,CA,0.93,168,14,14,247,Texas
Gavin Nix,6-0 ,225,LB,IMG Academy,Bradenton,FL,0.91,226,20,25,247,Texas
Kellen Wiley,6-4 ,225,LB,Armwood,Seffner,FL,0.91,NA,30,30,247,Texas
Nathaniel Owusu-Boateng,6-0.5 ,205,LB,IMG Academy,Bradenton,FL,0.9,NA,32,33,247,Texas
Jadon Perlotte,6-2.5 ,202,LB,Buford,Buford,GA,0.9,NA,33,45,247,Texas
Jaedon Harmon,6-1 ,217,LB,Rome,Rome,GA,0.9,NA,34,46,247,Texas
Jonathan Cunningham,6-2 ,195,LB,North Crowley,Fort Worth,TX,0.89,NA,55,61,247,Texas
Javar Thomas,6-3 ,195,LB,Aldine Nimitz,Houston,TX,0.89,NA,57,62,247,Texas
Landon McComber,6-2 ,210,LB,Bishop Gorman,Las Vegas,NV,0.89,NA,60,7,247,Texas
Ko'o Kia,6-2 ,210,LB,Punahou,Honolulu,HI,0.88,NA,85,4,247,Texas
Kelvion Riggins,5-11.5 ,205,LB,Forney,Forney,TX,0.88,NA,91,109,247,Texas
AJ Tuitele,6-3 ,205,LB,Mojave,North Las Vegas,NV,0.88,NA,95,10,247,Texas
JJ Shelton,6-0.5 ,200,LB,South Oak Cliff,Dallas,TX,0.87,NA,103,133,247,Texas
Anthony Williams,6-3 ,190,LB,Shadow Creek,Pearland,TX,0.87,NA,107,145,247,Texas
AJ Holloway,6-2 ,225,LB,Buford,Buford,GA,0.87,NA,117,119,247,Texas
Christian Pierce,6-0 ,210,LB,Brother Rice,Oak Lawn,IL,0.87,NA,120,32,247,Texas
Kenyon Rivera,6-1.5 ,195,LB,Buford,Buford,GA,0.86,NA,127,138,247,Texas
Devin Sanchez,6-2 ,180,CB,North Shore,Houston,TX,0.99,5,1,2,247,Texas
Dijon Lee,6-4 ,190,CB,Mission Viejo,Mission Viejo,CA,0.98,15,2,1,247,Texas
Kade Phillips,6-0.5 ,185,CB,Hightower,Missouri City,TX,0.98,23,4,8,247,Texas
Chuck McDonald,6-0.5 ,190,CB,Mater Dei,Santa Ana,CA,0.96,45,7,4,247,Texas
Graceson Littleton,6-0 ,180,CB,Wiregrass Ranch,Wesley Chapel,FL,0.95,81,10,11,247,Texas
Daryus Dixson,6-0 ,180,CB,Mater Dei,Santa Ana,CA,0.95,88,11,7,247,Texas
Dorian Brew,6-0 ,200,CB,Conroe,Conroe,TX,0.95,98,12,22,247,Texas
Adonyss Currie,6-1 ,170,CB,Quartz Hill,Lancaster,CA,0.94,127,16,9,247,Texas
Aidan Anding,5-11 ,165,CB,Ruston,Ruston,LA,0.93,164,19,5,247,Texas
Trestin Castro,6-2 ,177,CB,Upland,Upland,CA,0.92,211,25,19,247,Texas
Jaboree Antoine,6-1 ,170,CB,Westgate,New Iberia,LA,0.9,NA,34,12,247,Texas
Cobey Sellers,5-11.5 ,175,CB,Shadow Creek,Pearland,TX,0.9,NA,35,43,247,Texas
Chris Ewald,6-0 ,165,CB,Chaminade-Madonna,Hollywood,FL,0.9,NA,36,37,247,Texas
J'Vari Flowers,5-10.5 ,165,CB,Northwestern,Miami,FL,0.9,NA,41,42,247,Texas
Devin Williams,5-10 ,165,CB,Buford,Buford,GA,0.88,NA,56,74,247,Texas
Timothy Merritt,6-2 ,180,CB,Parker,Birmingham,AL,0.88,NA,58,30,247,Texas
Kuron Jabari Jr,6-1.5 ,185,CB,Centennial,Corona,CA,0.88,NA,70,72,247,Texas
Javion Holiday,6-1 ,182,CB,Duncanville,Duncanville,TX,0.87,NA,86,136,247,Texas
Maliek Hawkins,6-0 ,180,CB,Frisco Emerson,McKinney,TX,0.87,NA,93,143,247,Texas
Major Preston,5-11.5 ,187,CB,IMG Academy,Bradenton,FL,0.86,NA,106,118,247,Texas
Caleb Chester,6-1 ,170,CB,Fort Bend Marshall,Missouri City,TX,0.86,NA,120,216,247,Texas
Jonah Williams,6-3 ,203,S,Ball,Galveston,TX,0.99,6,1,3,247,Texas
DJ Pickett,6-4 ,178,S,Zephyrhills,Zephyrhills,FL,0.98,24,5,2,247,Texas
Faheem Delane,6-2.5 ,195,S,Our Lady Good Counsel HS,Olney,MD,0.95,99,8,3,247,Texas
Kainoa Winston,5-10 ,185,S,Gonzaga College,Washington,DC,0.94,130,10,1,247,Texas
Dallas Golden,6-0 ,176,S,Berkeley Prep,Tampa,FL,0.93,169,7,18,247,Texas
Jontae Gilbert,6-1 ,185,S,Douglass,Atlanta,GA,0.92,186,17,26,247,Texas
Kendall Daniels Jr.,6-3 ,190,S,Maury,Norfolk,VA,0.91,246,20,5,247,Texas
Amari Wallace,5-10 ,172,S,Miami Central,Miami,FL,0.9,NA,26,34,247,Texas
Zelus Hicks,6-2 ,190,S,Carrollton,Carrollton,GA,0.9,NA,30,50,247,Texas
Courtland Guillory,6-0 ,175,S,Klein Oak,Spring,TX,0.9,NA,39,53,247,Texas
Omarion Robinson,6-0 ,171,S,Parkview Magnet,Little Rock,AR,0.88,NA,49,3,247,Texas
Nathan Tilmon,6-0 ,185,S,Mansfield Timberview,Arlington,TX,0.87,NA,101,165,247,Texas
Sael Reyes,6-0 ,190,S,DeSoto,DeSoto,TX,0.86,NA,126,194,247,Texas
Na'eem Offord,6-1 ,185,ATH,Parker,Birmingham,AL,0.98,17,3,1,247,Texas
Kiotti Armstrong,6-5 ,265,ATH,Jasper,Jasper,TX,0.97,41,2,11,247,Texas
Michael Terry III,6-3 ,217,ATH,Alamo Heights,San Antonio,TX,0.95,85,2,21,247,Texas
Kelshaun Johnson,5-11 ,160,ATH,Hitchcock,Hitchcock,TX,0.94,124,16,25,247,Texas
Jordan Young,6-0 ,180,ATH,Monroe,Monroe,NC,0.9,NA,16,10,247,Texas
Keylan Moses,6-2 ,210,ATH,University Lab,Baton Rouge,LA,0.9,NA,36,13,247,Texas
Zymear Smith,5-11.5 ,170,ATH,North Caroline,Ridgely,MD,0.9,NA,19,13,247,Texas
Jarcoby Hopson,6-1 ,205,ATH,Lake Cormorant,Lake Cormorant,MS,0.89,NA,48,14,247,Texas
Jamarion Morrow,5-9 ,180,ATH,Melrose,Memphis,TN,0.89,NA,32,15,247,Texas
Josiah Abdullah,5-10 ,175,ATH,Woodward Academy,Atlanta,GA,0.88,NA,111,91,247,Texas
Raycine Guillory,5-10 ,180,ATH,Aledo,Aledo,TX,0.87,NA,59,117,247,Texas
Demetrius Brisbon,5-11 ,165,ATH,Chapel Hill,Tyler,TX,0.87,NA,66,124,247,Texas
Jacorey Watson,5-10 ,175,ATH,Shadow Creek,Pearland,TX,0.87,NA,158,169,247,Texas
Jovarious Lundy,5-10 ,150,ATH,Carrollwood Day,Tampa,FL,NA,NA,NA,NA,247,Texas
Bryce Underwood,6-3.5 ,205,QB,Belleville,Belleville,MI,0.9998,1,1,1,247,Georgia
Deuce Knight,6-4.5 ,206,QB,George County,Lucedale,MS,0.9862,28,5,1,247,Georgia
Julian Lewis,6-0.5 ,185,QB,Carrollton,Carrollton,GA,0.9762,50,6,7,247,Georgia
Jaron Keawe Sagapolutele,6-2.5 ,217,QB,James Campbell,Ewa Beach,HI,0.9662,67,7,1,247,Georgia
Matt Zollers,6-3.5 ,205,QB,Spring-Ford,Royersford,PA,0.9527,93,9,2,247,Georgia
KaMario Taylor,6-3.5 ,205,QB,Noxubee County,Macon,MS,0.9444,118,11,4,247,Georgia
Ryan Montgomery,6-3 ,215,QB,Findlay,Findlay,OH,0.9408,131,12,5,247,Georgia
George MacIntyre,6-5.5 ,190,QB,Brentwood Academy,Brentwood,TN,0.9355,150,13,2,247,Georgia
Antwann Hill,6-4.5 ,220,QB,Houston County,Warner Robins,GA,0.9272,186,15,26,247,Georgia
TJ Lateef,6-1.5 ,185,QB,Orange Lutheran,Orange,CA,0.9158,238,20,20,247,Georgia
Bear Bachmeier,6-1.5 ,225,QB,Murrieta Valley,Murrieta,CA,0.8933,422,28,33,247,Georgia
Wyatt Becker,6-1.5 ,180,QB,Sierra Canyon,Chatsworth,CA,0.8769,717,45,57,247,Georgia
Stone Saunders,6-1 ,205,QB,Bishop McDevitt,Harrisburg,PA,0.8767,726,47,17,247,Georgia
Hezekiah Millender,6-3 ,195,QB,Clarke Central,Athens,GA,0.8753,758,48,94,247,Georgia
Michael Tollefson,6-1 ,195,QB,Tustin,Tustin,CA,0.8664,1055,60,76,247,Georgia
Steele Pizzella,5-11.5 ,165,QB,Notre Dame,Sherman Oaks,CA,0.8533,1562,91,114,247,Georgia
Akylin Dear,6-1 ,200,RB,Quitman,Quitman,MS,0.9729,53,2,3,247,Georgia
Ousmane Kromah,6-0 ,205,RB,Lee County,Leesburg,GA,0.9622,76,4,10,247,Georgia
Anthony Rogers,5-8 ,190,RB,Carver,Montgomery,AL,0.9505,97,5,7,247,Georgia
Girard Pringle Jr.,5-10 ,182,RB,Armwood,Seffner,FL,0.9359,148,7,24,247,Georgia
Dierre Hill,5-11 ,180,RB,Althoff Catholic,Belleville,IL,0.9356,149,8,5,247,Georgia
Bo Jackson,6-0 ,205,RB,Villa Angela-St. Joseph,Cleveland,OH,0.932,160,10,6,247,Georgia
Jordon Davison,6-0 ,216,RB,Mater Dei,Santa Ana,CA,0.9299,171,12,14,247,Georgia
James Simon,5-11 ,200,RB,Calvary Baptist Academy,Shreveport,LA,0.9298,173,13,6,247,Georgia
Byron Louis,5-11 ,200,RB,American Heritage,Fort Lauderdale,FL,0.9253,196,15,30,247,Georgia
Alvin Henderson,5-9 ,200,RB,Elba,Elba,AL,0.9214,210,16,14,247,Georgia
Tory Blaylock,5-10 ,195,RB,Atascocita,Humble,TX,0.9112,266,17,35,247,Georgia
Jabree Wallace-Coleman,6-0 ,205,RB,Imhotep Institute,Philadelphia,PA,0.9061,294,21,6,247,Georgia
Taevion Swint,5-9 ,185,RB,Osceola,Kissimmee,FL,0.9038,310,23,46,247,Georgia
Waltez Clark,6-1 ,194,RB,Plant,Tampa,FL,0.9032,313,24,47,247,Georgia
Bo Walker,5-8.5 ,205,RB,Rabun Gap-Nacoochee,Rabun Gap,GA,0.9021,323,25,47,247,Georgia
Deondrae Riden,5-10 ,195,RB,DeSoto,DeSoto,TX,0.8925,436,33,63,247,Georgia
Donovan Johnson,6-0 ,205,RB,IMG Academy,Bradenton,FL,0.89,474,38,63,247,Georgia
Iverson Howard,5-10 ,195,RB,Quince Orchard,Gaithersburg,MD,0.8861,531,43,16,247,Georgia
Justin Baker,5-9.5 ,205,RB,Buford,Buford,GA,0.8811,614,52,82,247,Georgia
Omar Mabson,5-9 ,200,RB,Auburn,Auburn,AL,0.8803,631,53,27,247,Georgia
Dakorien Moore,5-11 ,182,WR,Duncanville,Duncanville,TX,0.9981,4,1,2,247,Georgia
Jerome Myles,6-3 ,215,WR,Corner Canyon,Draper,UT,0.9884,19,3,1,247,Georgia
Talyn Taylor,6-1 ,173,WR,Geneva Community,Geneva,IL,0.9877,20,4,1,247,Georgia
Caleb Cunningham,6-1 ,190,WR,Choctaw County,Ackerman,MS,0.984,32,7,2,247,Georgia
Dallas Wilson,6-3 ,195,WR,Tampa Bay Tech,Tampa,FL,0.9827,35,8,4,247,Georgia
Jaime Ffrench,6-1 ,185,WR,Mandarin,Jacksonville,FL,0.979,44,9,6,247,Georgia
Travis Smith Jr.,6-3.5 ,199,WR,Westlake,Atlanta,GA,0.9551,85,10,13,247,Georgia
CJ Wiley,6-4 ,195,WR,Milton,Alpharetta,GA,0.953,91,11,14,247,Georgia
Donovan Olugbode,6-1 ,200,WR,IMG Academy,Bradenton,FL,0.9517,95,12,14,247,Georgia
Derick Smith,6-1 ,185,WR,Southside,Selma,AL,0.9472,107,3,8,247,Georgia
Cortez Mills,6-0.5 ,165,WR,Homestead,Homestead,FL,0.9463,112,15,16,247,Georgia
Andrew Marsh,6-1 ,175,WR,Katy Jordan,Fulshear,TX,0.9448,116,16,22,247,Georgia
Joshua Moore,6-4 ,205,WR,West Broward,Pembroke Pines,FL,0.9435,124,17,18,247,Georgia
Derek Meadows,6-5 ,200,WR,Bishop Gorman,Las Vegas,NV,0.9434,125,18,4,247,Georgia
Donovan Murph,6-1.5 ,188,WR,Irmo,Columbia,SC,0.9316,164,22,3,247,Georgia
Naeshaun Montgomery,6-1 ,165,WR,Miami Central,Miami,FL,0.9304,169,23,25,247,Georgia
Jayvan Boggs,6-0.5 ,200,WR,Cocoa,Cocoa,FL,0.9288,178,24,27,247,Georgia
Jordon Gidron,6-2 ,185,WR,Ridge View,Columbia,SC,0.9184,224,30,7,247,Georgia
Thomas Blackshear,6-1 ,197,WR,Calvary Day School,Savannah,GA,0.9137,248,31,36,247,Georgia
Winston Watkins Jr.,5-10 ,172,WR,Venice,Venice,FL,0.9113,265,32,41,247,Georgia
Phillip Bell,6-2 ,195,WR,Mission Viejo,Mission Viejo,CA,0.9093,274,35,23,247,Georgia
Je'rel Bolder,6-0 ,192,WR,Forest Hills,Marshville,NC,0.9091,277,36,8,247,Georgia
Landon Roldan,6-0 ,180,WR,North Oconee,Bogart,GA,0.9049,304,39,44,247,Georgia
Isaiah Mozee,6-1 ,185,WR,Lee's Summit North,Lees Summit,MO,0.9026,318,42,3,247,Georgia
Corey Simms,6-3 ,205,WR,Christian Brothers College,Saint Louis,MO,0.9012,330,43,4,247,Georgia
Shamarius Peterkin,6-2 ,172,WR,Mount Tabor,Winston Salem,NC,0.9011,331,44,9,247,Georgia
Brian Rowe,5-10 ,175,WR,Jay M Robinson,Concord,NC,0.9007,335,45,10,247,Georgia
Marcus Harris,6-0.5 ,185,WR,Mater Dei,Santa Ana,CA,0.8996,352,47,30,247,Georgia
Malachi Toney,5-10.5 ,182,WR,American Heritage,Fort Lauderdale,FL,0.8993,357,49,51,247,Georgia
Quanell X Farrakhan Jr.,5-11.5 ,185,WR,North Shore,Houston,TX,0.8975,372,52,50,247,Georgia
Tanook Hines,6-1 ,185,WR,Dekaney,Houston,TX,0.8933,422,59,58,247,Georgia
