stadium,city,state,team,conference,capacity,built,expanded,div,latitude,longitude
Gerald J. Ford Stadium,University Park,TX,SMU,American,32000,2000,NA,fbs,32.83771580994254,-96.782705783844
BB&T Field,Winston-Salem,NC,Wake Forest,ACC,31500,1968,2007,fbs,36.09183481061275,-80.25534152984619
"Johnny ""Red"" Floyd Stadium",Murfreesboro,TN,Middle Tennessee,C-USA,31000,1933,1998,fbs,35.85110908054087,-86.36844992637634
Centennial Bank Stadium,Jonesboro,AR,Arkansas State,Sun Belt,30964,1974,2002,fbs,35.84899009532366,-90.66769494362912
Apogee Stadium,Denton,TX,North Texas,C-USA,30850,2011,NA,fbs,33.20393508408917,-97.15922355651855
Joe Aillet Stadium,Ruston,LA,Louisiana Tech,C-USA,30600,1968,1989,fbs,32.53223809915824,-92.6560188758494
Spartan Stadium,San Jose,CA,San Jose State,Mountain West,30456,1933,1985,fbs,37.320105186690846,-121.86811613079064
Malone Stadium,Monroe,LA,Louisiana-Monroe,Sun Belt,30427,1978,1993,fbs,32.53106869451547,-92.06644075067642
Aggie Memorial Stadium,Las Cruces,NM,New Mexico State,Sun Belt,30343,1978,2005,fbs,32.27974938226407,-106.74113631248474
Waldo Stadium,Kalamazoo,MI,Western Michigan,MAC,30200,1939,2003,fbs,42.285755487470176,-85.60100421309471
Rynearson Stadium,Ypsilanti,MI,Eastern Michigan,MAC,30200,1969,1992,fbs,42.2557607087688,-83.64775657653809
Mackay Stadium,Reno,NV,Nevada,Mountain West,30000,1966,2016,fbs,39.546924850171585,-119.8175597190857
Bobcat Stadium,San Marcos,TX,Texas State,Sun Belt,30000,1981,2012,fbs,29.89134454879716,-97.92531180559462
Summa Field at InfoCision Stadium,Akron,OH,Akron,MAC,30000,2009,NA,fbs,41.07256951528711,-81.50838375091553
FAU Stadium,Boca Raton,FL,Florida Atlantic,C-USA,30000,2011,NA,fbs,26.3754535636523,-80.10168313980103
Veterans Memorial Stadium,Troy,AL,Troy,Sun Belt,30000,1950,2003,fbs,31.799527415252125,-85.95217691586194
Benson Field at Yulman Stadium,New Orleans,LA,Tulane,American,30000,2014,NA,fbs,29.945898112528432,-90.11519112306328
War Memorial Stadium,Laramie,WY,Wyoming,Mountain West,29181,1950,2010,fbs,41.311935992992474,-105.56906461715698
UB Stadium,Amherst,NY,Buffalo,MAC,29013,1993,NA,fbs,42.99906838239644,-78.7775194644928
Georgia Dome,Atlanta,GA,Georgia State,Sun Belt,28155,1992,NA,fbs,33.75761737647849,-84.4010603427887
Glass Bowl,Toledo,OH,Toledo,MAC,26248,1937,1990,fbs,41.65739077895321,-83.61401719150295
Romney Stadium,Logan,UT,Utah State,Mountain West,25513,1968,1980,fbs,41.75153188612883,-111.81210567885644
Huskie Stadium,DeKalb,IL,Northern Illinois,MAC,25500,1965,1995,fbs,41.934014,-88.778222
Dix Stadium,Kent,OH,Kent State,MAC,25000,1969,2008,fbs,41.13908682549516,-81.31343945860863
Paulson Stadium,Statesboro,GA,Georgia Southern,Sun Belt,24300,1984,2014,fbs,32.41221167634779,-81.78317070007324
Yager Stadium,Oxford,OH,Miami (OH),MAC,24286,1983,2005,fbs,39.51942113142349,-84.73335450140017
Kidd Brewer Stadium,Boone,NC,Appalachian State,Sun Belt,24050,1962,2009,fbs,36.21151530169309,-81.68550610542297
Peden Stadium,Athens,OH,Ohio,MAC,24000,1929,2001,fbs,39.32130908459409,-82.10343944652357
Doyt Perry Stadium,Bowling Green,OH,Bowling Green,MAC,23724,1966,NA,fbs,41.37805439803228,-83.62248212099075
FIU Stadium,Miami,FL,FIU,C-USA,23500,1995,2012,fbs,25.75249278747405,-80.37786483764648
Scheumann Stadium,Muncie,IN,Ball State,MAC,22500,1967,2007,fbs,40.21602764466651,-85.41769962206614
Houchens Industries–L. T. Smith Stadium,Bowling Green,KY,Western Kentucky,C-USA,22113,1968,2008,fbs,36.984876629894664,-86.459013971646
Foreman Field,Norfolk,VA,Old Dominion,C-USA,20118,1936,2009,fbs,36.88878131523489,-76.30567610263824
Warren McGuirk Alumni Stadium,Hadley,MA,UMass,MAC,17000,1965,2014,fbs,42.377513236004525,-72.53562686052412
Jerry Richardson Stadium,Charlotte,NC,Charlotte,C-USA,15314,2013,NA,fbs,35.31028067616406,-80.74049377106525
Bridgeforth Stadium,Harrisonburg,Virginia,James Madison,CAA,24878,1975,2011,fbs,38.43508893585215,-78.87340330403673
JSU Stadium,Jacksonville,Alabama,Jacksonville State,Ohio Valley,24000,1947,2010,fbs,33.82031030570401,-85.76646566390991
Williams Stadium,Lynchburg,Virginia,Liberty,Big South,19200,1989,2010,fbs,37.354414,-79.175047
Bowers Stadium,Huntsville,Texas,Sam Houston State,Southland,14000,1986,1986,fbs,30.71394673763343,-95.54191589355467
Brooks Stadium,Conway,South Carolina,Coastal Carolina,Big South,9214,2003,20062010,fbs,33.792838175224496,-79.01702282805255
Fifth Third Bank Stadium,Kennesaw,Georgia,Kennesaw State,Big South,8318,2010,NA,fbs,34.0234337,-84.6154897
Protective Stadium,Birmingham,AL,UAB,C-USA,47100,2021,NA,fbs,33.527599,-86.807358
